"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"Q08","DO SHIN","4","CHEUNG CHIN PANG","1,216*",FALSE,TRUE,1216,2015
"Q09","KIN MING","1","CHAU KA LOK","710",FALSE,FALSE,710,2015
"Q09","KIN MING","2","LEUNG LI","3,719*",FALSE,TRUE,3719,2015
"Q10","CHOI KIN","1","NG JACOB","1,791",FALSE,FALSE,1791,2015
"Q10","CHOI KIN","2","HO MAN KIT RAYMOND","2,873*",FALSE,TRUE,2873,2015
"Q11","O TONG","1","AU YEUNG HO KWAN","1,314",FALSE,FALSE,1314,2015
"Q11","O TONG","2","LUI MAN KWONG","1,831*",FALSE,TRUE,1831,2015
"Q11","O TONG","3","KO WING LUEN","1,036",FALSE,FALSE,1036,2015
"Q12","FU KWAN","1","LUK PING CHOI","2,087*",FALSE,TRUE,2087,2015
"Q12","FU KWAN","2","LUI KIM HO(KIM)","1,671",FALSE,FALSE,1671,2015
"Q12","FU KWAN","3","SHEK YUEN HON","43",FALSE,FALSE,43,2015
"Q13","KWAN PO","1","LEE KWOK PUI","534",FALSE,FALSE,534,2015
"Q13","KWAN PO","2","CHAN CHIN CHUN(CYRUS)","480",FALSE,FALSE,480,2015
"Q13","KWAN PO","3","LEE SUN ANTONY","583",FALSE,FALSE,583,2015
"Q13","KWAN PO","4","WONG TIN YAU","487",FALSE,FALSE,487,2015
"Q13","KWAN PO","5","LAI MING CHAK","784*",FALSE,TRUE,784,2015
"Q14","NAM ON","1","CHAU YIN MING FRANCIS","3,359*",FALSE,TRUE,3359,2015
"Q14","NAM ON","2","YU KAI CHUN","985",FALSE,FALSE,985,2015
"Q15","HONG KING","1","CHAN KIN CHUN KEN","2,446",FALSE,FALSE,2446,2015
"Q15","HONG KING","2","LAM SIU CHUNG FRANKIE","3,274*",FALSE,TRUE,3274,2015
"Q16","TSUI LAM","1","CHAN YUEN PAN","1,396",FALSE,FALSE,1396,2015
"Q16","TSUI LAM","2","TAM LANNY","3,051*",FALSE,TRUE,3051,2015
"Q17","PO LAM","1","AU NING FAT ALFRED","2,446*",FALSE,TRUE,2446,2015
"Q17","PO LAM","2","WONG LOK YIN(ROCKY)","779",FALSE,FALSE,779,2015
"Q17","PO LAM","3","CHEUNG CHI TUNG","913",FALSE,FALSE,913,2015
