ConstituencyCode,CandidateCode,Key,Constituency,Candidate,Gender,Occupation,Politics,CandidateAlias,Uncontested,elected,VotesN,Year,Constituency_ZH,Politics_ZH,Candidate_ZH,Camp
E01,1,E01_1,TSIM SHA TSUI WEST,LAU CHI HUNG,M,Pastor,,LAU CHI HUNG,FALSE,FALSE,828,2015,尖沙咀西,獨立,劉志雄,D
E01,2,E01_2,TSIM SHA TSUI WEST,HUNG CHIU WAH,M,*Director/District Councilor,DAB,HUNG CHIU WAH(DEREK),FALSE,TRUE,1213,2015,尖沙咀西,民建聯,孔昭華,B
E02,1,E02_1,JORDAN SOUTH,IP NGO TUNG CHRIS,M,News Executive/District Councilor,DAB,IP NGO TUNG CHRIS,FALSE,TRUE,1531,2015,佐敦南,民建聯,葉傲冬,B
E02,2,E02_2,JORDAN SOUTH,LUI NGAR YEE JOEY,F,,,LUI NGAR YEE JOEY,FALSE,FALSE,524,2015,佐敦南,香港關注會,雷雅儀,U
E03,*,E03_*,JORDAN WEST,CHAN SIU TONG,M,,DAB,CHAN SIU TONG,TRUE,TRUE,0,2015,佐敦西,民建聯,陳少棠,B
E04,1,E04_1,YAU MA TEI SOUTH,AU YEUNG TUNG,M,Community Coordinator,Hong Kong Association for Democracy and People's Livelihood,AU YEUNG TUNG,FALSE,FALSE,1298,2015,油麻地南,民協,歐陽東,D
E04,2,E04_2,YAU MA TEI SOUTH,YEUNG TSZ HEI,M,District Councillor,DAB,YEUNG TSZ HEI(BENNY),FALSE,TRUE,2124,2015,油麻地南,民建聯,楊子熙,B
E05,1,E05_1,CHARMING,LEE WAI FUNG,M,,The Democratic Party,LEE WAI FUNG,FALSE,FALSE,2053,2015,富榮,民主黨,李偉峰,D
E05,2,E05_2,CHARMING,CHUNG KONG MO,M,District Councilor,DAB,CHUNG KONG MO,FALSE,TRUE,2473,2015,富榮,民建聯,鍾港武,B
E06,*,E06_*,MONG KOK WEST,HUI TAK LEUNG,M,*District Councillor,,HUI TAK LEUNG,TRUE,TRUE,0,2015,旺角西,經民聯,許德亮,B
E07,1,E07_1,FU PAK,YU TAK PO,M,Full-time District Developer,Civic Party,YU TAK PO,FALSE,TRUE,2859,2015,富柏,公民黨,余德寶,D
E07,2,E07_2,FU PAK,LAW SIU HUNG PAUL,M,CEO,Independent Candidate,LAW SIU HUNG PAUL,FALSE,FALSE,1924,2015,富柏,九龍社團,羅少雄,B
E08,1,E08_1,OLYMPIC,KO HIU WING,M,Company Director,Independent Candidate,KO HIU WING(PATRICK),FALSE,FALSE,1414,2015,奧運,維港關愛協會,高曉榮,B
E08,2,E08_2,OLYMPIC,TO KUN SUN JAMES,M,Legislator/Solicitor,The Democratic Party,TO KUN SUN JAMES,FALSE,TRUE,1531,2015,奧運,民主黨,涂謹申,D
E09,1,E09_1,CHERRY,LAM HO YEUNG,M,Chief Executive Officer (Social Worker),The Democratic Party,LAM HO YEUNG,FALSE,FALSE,858,2015,櫻桃,民主黨,林浩揚,D
E09,2,E09_2,CHERRY,CHUNG CHAK FAI,M,,,CHUNG CHAK FAI,FALSE,TRUE,1611,2015,櫻桃,九龍社團,鍾澤暉,B
E09,3,E09_3,CHERRY,NAKADE HITSUJIKO,M,,,NAKADE HITSUJIKO,FALSE,FALSE,172,2015,櫻桃,香港城邦皇室,中出羊子,U
E10,1,E10_1,TAI KOK TSUI SOUTH,LAI YIU CHUN,M,Accountant,Youngspiration,LAI YIU CHUN,FALSE,FALSE,1362,2015,大角咀南,青年新政,黎耀駿,D
E10,2,E10_2,TAI KOK TSUI SOUTH,CHOI SIU FUNG BENJAMIN,M,,DAB,CHOI SIU FUNG BENJAMIN,FALSE,TRUE,1608,2015,大角咀南,民建聯,蔡少峰,B
E11,1,E11_1,TAI KOK TSUI NORTH,WONG KA YING,F,Professional Accountant,Civic Party,WONG KA YING,FALSE,FALSE,1363,2015,大角咀北,公民黨,王嘉盈,D
E11,2,E11_2,TAI KOK TSUI NORTH,LAU PAK KEI,M,,DAB,LAU PAK KEI,FALSE,TRUE,2633,2015,大角咀北,民建聯,劉柏祺,B
E12,1,E12_1,TAI NAN,CHIU YUK KWONG,M,Registered Nurse,Youngspiration,CHIU YUK KWONG,FALSE,FALSE,606,2015,大南,青年新政,趙旭光,D
E12,2,E12_2,TAI NAN,FUNG JOSHUA MAN TAO,M,Community Officer,The Democratic Party,FUNG JOSHUA MAN TAO,FALSE,FALSE,962,2015,大南,民主黨,馮文韜,D
E12,3,E12_3,TAI NAN,CHONG WING CHARN FRANCIS,M,Solicitor,Kowloon West New Dynamic/BPA,CHONG WING CHARN FRANCIS,FALSE,TRUE,1424,2015,大南,西九新動力,莊永燦,B
E13,1,E13_1,MONG KOK NORTH,WONG SHU MING,F,Full Time District Councillor,Kowloon West New Dynamic,WONG SHU MING,FALSE,TRUE,1712,2015,旺角北,西九新動力,黃舒明,B
E13,2,E13_2,MONG KOK NORTH,WONG KA CHUN,M,Teacher,Youngspiration,WONG KA CHUN,FALSE,FALSE,869,2015,旺角北,青年新政,黃家俊,D
E14,1,E14_1,MONG KOK EAST,TSE JEFFERSON KELLER,M,Property Manager & Engineering Consultant,Independent,TSE JEFFERSON KELLER,FALSE,FALSE,112,2015,旺角東,獨立,謝卓男,U
E14,2,E14_2,MONG KOK EAST,WONG KIN SAN,M,District Councillor/Policy Researcher,,WONG KIN SAN,FALSE,TRUE,1442,2015,旺角東,西九新動力,黃建新,B
E14,3,E14_3,MONG KOK EAST,LAU CHUN YIP,M,Community Officer,The Democratic Party,LAU CHUN YIP,FALSE,FALSE,1172,2015,旺角東,民主黨,劉俊業,D
E15,*,E15_*,MONG KOK SOUTH,CHOW CHUN FAI,M,Manager,,CHOW CHUN FAI,TRUE,TRUE,0,2015,旺角南,西九新動力,仇振輝,B
E16,1,E16_1,YAU MA TEI NORTH,MAN YUN WA,M,,*FTU,MAN YUN WA,FALSE,FALSE,689,2015,油麻地北,工聯會,文潤華,B
E16,2,E16_2,YAU MA TEI NORTH,LAM KIN MAN,M,Solicitor,ADPL,LAM KIN MAN,FALSE,TRUE,1682,2015,油麻地北,民協,林健文,D
E17,1,E17_1,EAST TSIM SHA TSUI & KING'S PARK,CHAN MAN YU HENRY,M,Management Consultant,The Professional Commons,CHAN MAN YU HENRY,FALSE,FALSE,681,2015,尖東及京士柏,公共專業聯盟,陳文佑,D
E17,2,E17_2,EAST TSIM SHA TSUI & KING'S PARK,TANG MING SUM MICHELLE,F,Civil Engineer,,TANG MING SUM MICHELLE,FALSE,TRUE,852,2015,尖東及京士柏,九龍社團,鄧銘心,B
E18,1,E18_1,TSIM SHA TSUI CENTRAL,LIU SIU FAI,M,,,LIU SIU FAI,FALSE,FALSE,486,2015,尖沙咀中,獨立,廖少輝,U
E18,2,E18_2,TSIM SHA TSUI CENTRAL,KWAN SAU LING,F,District Councilor,DAB,KWAN SAU LING,FALSE,TRUE,1099,2015,尖沙咀中,民建聯,關秀玲,B
E19,1,E19_1,JORDAN NORTH,JO CHUN WAH,M,I.T. Company Founder,DAB,JO CHUN WAH(CRAIG),FALSE,TRUE,941,2015,佐敦北,民建聯,楊鎮華,B
E19,2,E19_2,JORDAN NORTH,CHICK CHI LEUNG,M,Construction Site Carpenter,,CHICK CHI LEUNG,FALSE,FALSE,386,2015,佐敦北,獨立,戚志良,D
F01,1,F01_1,PO LAI,TSE HIU HUNG,F,Community Officer,,TSE HIU HUNG,FALSE,FALSE,1664,2015,寶麗,深水?居民協會,謝曉虹,B
F01,2,F01_2,PO LAI,LEUNG YAU FONG,M,,ADPL,LEUNG YAU FONG,FALSE,TRUE,1929,2015,寶麗,民協,梁有方,D
F02,1,F02_1,CHEUNG SHA WAN,LAM KA FAI AARON,M,Interior Design Consultant,BPA/Kowloon West New Dynamic,LAM KA FAI AARON,FALSE,TRUE,1491,2015,長沙灣,西九新動力,林家輝,B
F02,2,F02_2,CHEUNG SHA WAN,LAM SHUI HUM,F,Grassroot Organizer,,LAM SHUI HUM,FALSE,FALSE,246,2015,長沙灣,獨立,林瑞含,U
F02,3,F02_3,CHEUNG SHA WAN,LEE MAN HO LEOS,M,,,LEE MAN HO LEOS,FALSE,FALSE,1307,2015,長沙灣,長社力,李文浩,D
