"ConstituencyCode","Constituency","CandidateCode","CandidateAlias","Votes","Uncontested","elected","VotesN","Year","Key","Candidate"
"K14","LUK YEUNG","2","LAM FAAT KANG","2,193*",FALSE,TRUE,2193,2015,"K14_2","LAM FAAT KANG"
"K15","LEI MUK SHUE EAST","1","CHAN YUEN SUM SUMLY","3,169*",FALSE,TRUE,3169,2015,"K15_1","CHAN YUEN SUM SUMLY"
"K15","LEI MUK SHUE EAST","2","LUI DIK MING","1,773",FALSE,FALSE,1773,2015,"K15_2","LUI DIK MING"
"K16","LEI MUK SHUE WEST","1","TAM TSZ FEI","1,385",FALSE,FALSE,1385,2015,"K16_1","TAM TSZ FEI"
"K16","LEI MUK SHUE WEST","2","WONG KA WA","2,895*",FALSE,TRUE,2895,2015,"K16_2","WONG KA WA"
"K17","SHEK WAI KOK","1","MAN YU MING","2,356*",FALSE,TRUE,2356,2015,"K17_1","MAN YU MING"
"K17","SHEK WAI KOK","2","LAI MAN FAI","1,035",FALSE,FALSE,1035,2015,"K17_2","LAI MAN FAI"
"K18","CHEUNG SHEK","1","WONG CHI SHUN ADEN","864",FALSE,FALSE,864,2015,"K18_1","WONG CHI SHUN ADEN"
"K18","CHEUNG SHEK","2","CHAN CHUN CHUNG","1,997*",FALSE,TRUE,1997,2015,"K18_2","CHAN CHUN CHUNG"
"K18","CHEUNG SHEK","3","CHAN KA WING","353",FALSE,FALSE,353,2015,"K18_3","CHAN KA WING"
"L01","TUEN MUN TOWN CENTRE","1","CHIU KAM MOON","834",FALSE,FALSE,834,2015,"L01_1","CHIU KAM MOON"
"L01","TUEN MUN TOWN CENTRE","2","AU CHI YUEN","1,517*",FALSE,TRUE,1517,2015,"L01_2","AU CHI YUEN"
"L02","SIU CHI","1","LAM CHUNG HOI","3,551*",FALSE,TRUE,3551,2015,"L02_1","LAM CHUNG HOI"
"L02","SIU CHI","2","LI CHING YEE","1,532",FALSE,FALSE,1532,2015,"L02_2","LI CHING YEE"
"L02","SIU CHI","3","WONG KA LEUNG","232",FALSE,FALSE,232,2015,"L02_3","WONG KA LEUNG"
"L03","SIU TSUI","1","YIP MAN PAN","3,138*",FALSE,TRUE,3138,2015,"L03_1","YIP MAN PAN"
"L03","SIU TSUI","2","NG HON YING","192",FALSE,FALSE,192,2015,"L03_2","NG HON YING"
"L03","SIU TSUI","3","TANG CHUN TO","2,536",FALSE,FALSE,2536,2015,"L03_3","TANG CHUN TO"
"L04","ON TING","1","FUNG PUI YIN","2,216",FALSE,FALSE,2216,2015,"L04_1","FUNG PUI YIN"
"L04","ON TING","2","KONG FUNG YI","2,383*",FALSE,TRUE,2383,2015,"L04_2","KONG FUNG YI"
"L05","YAU OI SOUTH","1","CHIN PO FUN","1,057",FALSE,FALSE,1057,2015,"L05_1","CHIN PO FUN"
"L05","YAU OI SOUTH","2","TSANG HIN HONG","2,085*",FALSE,TRUE,2085,2015,"L05_2","TSANG HIN HONG"
"L06","YAU OI NORTH","1","CHAN WAN SANG","1,616",FALSE,FALSE,1616,2015,"L06_1","CHAN WAN SANG"
"L06","YAU OI NORTH","2","TAM CHUN YIN","1,731*",FALSE,TRUE,1731,2015,"L06_2","TAM CHUN YIN"
