"ConstituencyCode","Constituency","CandidateCode","Candidate","Votes","Uncontested","elected","VotesN","Year"
"M13","屏山北","2","楊家安","1,344*",FALSE,TRUE,1344,2015
"M14","廈村","1","鄭錦豪","376",FALSE,FALSE,376,2015
"M14","廈村","2","鄧家良","2,610*",FALSE,TRUE,2610,2015
"M15","天盛","1","陳思靜","3,702*",FALSE,TRUE,3702,2015
"M15","天盛","2","梁業鵬","1,807",FALSE,FALSE,1807,2015
"M16","瑞愛","1","周子麒","1,434",FALSE,FALSE,1434,2015
"M16","瑞愛","2","郭強","3,136*",FALSE,TRUE,3136,2015
"M17","瑞華","1","高俊傑","1,634",FALSE,FALSE,1634,2015
"M17","瑞華","2","周永勤","1,941*",FALSE,TRUE,1941,2015
"M18","頌華","1","黃煒鈴","1,775*",FALSE,TRUE,1775,2015
"M18","頌華","2","陳家駒","965",FALSE,FALSE,965,2015
"M19","悅恩","*","趙秀嫻","自動當選",TRUE,TRUE,0,2015
"M20","富恩","1","強國偉","1,339",FALSE,FALSE,1339,2015
"M20","富恩","2","劉桂容","2,819*",FALSE,TRUE,2819,2015
"M21","逸澤","1","郭慶平","2,288*",FALSE,TRUE,2288,2015
"M21","逸澤","2","黃遠輝","496",FALSE,FALSE,496,2015
"M21","逸澤","3","黃裕材","1,468",FALSE,FALSE,1468,2015
"M22","天恒","1","王百羽","1,317",FALSE,FALSE,1317,2015
"M22","天恒","2","張國棟","846",FALSE,FALSE,846,2015
"M22","天恒","3","陸頌雄","2,749*",FALSE,TRUE,2749,2015
"M23","宏逸","*","姚國威","自動當選",TRUE,TRUE,0,2015
"M24","晴景","1","鄧焯謙","2,423*",FALSE,TRUE,2423,2015
"M24","晴景","2","蘇永宙","632",FALSE,FALSE,632,2015
"M25","嘉湖北","1","李月民","2,775*",FALSE,TRUE,2775,2015
"M25","嘉湖北","2","何惠芳","1,747",FALSE,FALSE,1747,2015
"M26","慈祐","1","陳美蓮","2,438*",FALSE,TRUE,2438,2015
"M26","慈祐","2","程容輝","1,345",FALSE,FALSE,1345,2015
"M27","耀祐","1","馬淑燕","1,584*",FALSE,TRUE,1584,2015
"M27","耀祐","2","王佩賢(劉太)","1,255",FALSE,FALSE,1255,2015
